x,y,z
178,-13,-103
178,-13,-103
178,-13,-103
168,17,-81
168,17,-81
168,17,-81
168,17,-81
168,17,-81
135,26,-81
135,26,-81
135,26,-81
135,26,-81
135,26,-81
90,13,-98
90,13,-98
90,13,-98
90,13,-98
90,13,-98
90,13,-98
63,-6,-117
63,-6,-117
63,-6,-117
63,-6,-117
63,-6,-117
62,-23,-119
62,-23,-119
62,-23,-119
62,-23,-119
62,-23,-119
80,-27,-103
80,-27,-103
80,-27,-103
80,-27,-103
80,-27,-103
106,-11,-63
106,-11,-63
106,-11,-63
106,-11,-63
106,-11,-63
125,7,-15
125,7,-15
125,7,-15
125,7,-15
125,7,-15
125,7,-15
122,25,23
122,25,23
122,25,23
122,25,23
122,25,23
122,25,59
96,32,59
96,32,59
96,32,59
96,32,59
96,32,59
69,34,73
69,34,73
69,34,73
69,34,73
69,34,73
69,34,73
50,39,71
50,39,71
50,39,71
50,39,71
50,39,71
50,39,71
52,34,46
52,34,46
52,34,46
52,34,46
52,34,46
52,34,46
61,18,13
61,18,13
61,18,13
61,18,13
61,18,13
61,18,-16
73,-5,-16
73,-5,-16
73,-5,-16
73,-5,-16
73,-5,-16
64,-22,-44
64,-22,-44
64,-22,-44
64,-22,-44
64,-22,-44
52,-31,-60
52,-31,-60
52,-31,-60
52,-31,-60
52,-31,-60
52,-31,-60
39,-27,-48
39,-27,-48
39,-27,-48
39,-27,-48
39,-27,-48
44,-23,-27
44,-23,-27
44,-23,-27
44,-23,-27
44,-23,-27
67,-6,-3
67,-6,-3
67,-6,-3
67,-6,-3
67,-6,-3
67,-6,-3
83,14,13
83,14,13
83,14,13
83,14,13
83,14,13
83,14,13
108,25,15
108,25,15
108,25,15
108,25,15
108,25,15
108,25,1
132,17,1
132,17,1
132,17,1
132,17,1
132,17,1
134,6,-12
134,6,-12
134,6,-12
134,6,-12
134,6,-12
134,6,-12
125,-4,-23
125,-4,-23
125,-4,-23
125,-4,-23
125,-4,-23
132,-14,-36
132,-14,-36
132,-14,-36
132,-14,-36
132,-14,-36
151,-20,-43
151,-20,-43
151,-20,-43
151,-20,-43
151,-20,-43
151,-20,-44
158,-33,-44
158,-33,-44
158,-33,-44
158,-33,-44
158,-33,-44
162,-31,-39
162,-31,-39
162,-31,-39
162,-31,-39
162,-31,-39
161,-21,-26
161,-21,-26
161,-21,-26
161,-21,-26
161,-21,-26
151,-5,-11
151,-5,-11
151,-5,-11
151,-5,-11
151,-5,-11
141,0,-6
141,0,-6
141,0,-6
141,0,-6
141,0,-6
141,0,-6
136,-13,-15
136,-13,-15
136,-13,-15
136,-13,-15
136,-13,-15
140,-33,-36
140,-33,-36
140,-33,-36
140,-33,-36
140,-33,-36
158,-49,-60
158,-49,-60
158,-49,-60
158,-49,-60
158,-49,-60
153,-66,-76
153,-66,-76
153,-66,-76
153,-66,-76
153,-66,-76
114,-76,-78
114,-76,-78
114,-76,-78
114,-76,-78
114,-76,-78
114,-76,-68
64,-76,-68
64,-76,-68
64,-76,-68
64,-76,-68
64,-76,-68
28,-49,-52
28,-49,-52
28,-49,-52
28,-49,-52
28,-49,-52
20,-6,-43
20,-6,-43
20,-6,-43
20,-6,-43
20,-6,-43
20,-6,-48
43,3,-48
43,3,-48
43,3,-48
43,3,-48
43,3,-48
93,-14,-86
93,-14,-86
93,-14,-86
93,-14,-86
93,-14,-86
93,-14,-86
179,-54,-119
179,-54,-119
179,-54,-119
179,-54,-119
179,-54,-119
277,-63,-140
277,-63,-140
277,-63,-140
277,-63,-140
277,-63,-148
342,-55,-148
342,-55,-148
342,-55,-148
342,-55,-148
342,-73,-164
318,-73,-164
318,-73,-164
318,-73,-164
318,-73,-164
210,-136,-182
210,-136,-182
210,-136,-182
210,-136,-182
210,-136,-182
83,-149,-175
83,-149,-175
83,-149,-175
83,-149,-175
83,-149,-175
3,-81,-120
3,-81,-120
3,-81,-120
3,-81,-120
3,-81,-120
-8,4,-67
-8,4,-67
-8,4,-67
-8,4,-67
-8,4,-67
-8,4,-67
55,47,-72
55,47,-72
55,47,-72
55,47,-72
55,47,-72
55,47,-72
198,30,-93
198,30,-93
198,30,-93
198,30,-93
198,30,-93
391,-51,-111
391,-51,-111
391,-51,-111
391,-51,-111
391,-51,-111
545,-165,-128
545,-165,-128
545,-165,-128
545,-165,-128
545,-165,-128
573,-231,-139
573,-231,-139
573,-231,-139
573,-231,-139
486,-187,-134
486,-187,-134
486,-187,-134
486,-187,-134
486,-187,-134
