t,x,y,z
1137,-72,-111,148
1138,-72,-111,148
1139,-72,-111,148
1140,-72,-111,148
1141,-77,-27,277
1142,-77,-27,277
1143,-77,-27,277
1144,-77,-27,277
1145,-77,-27,277
1146,-59,60,394
1147,-59,60,394
1148,-59,60,394
1149,-59,60,394
1150,-59,60,394
1151,-9,159,505
1152,-9,159,505
1153,-9,159,505
1154,-9,159,505
1155,-9,159,505
1156,-9,159,589
1157,59,237,589
1158,59,237,589
1159,59,237,589
1160,59,237,589
1161,59,237,589
1162,115,292,640
1163,115,292,640
1164,115,292,640
1165,115,292,640
1166,115,292,640
1167,136,314,648
1168,136,314,648
1169,136,314,648
1170,136,314,648
1171,136,314,648
1172,102,302,611
1173,102,302,611
1174,102,302,611
1175,102,302,611
1176,102,302,611
1177,54,271,523
1178,54,271,523
1179,54,271,523
1180,54,271,523
1181,54,271,523
1182,54,271,414
1183,0,201,414
1184,0,201,414
1185,0,201,414
1186,0,201,414
1187,0,201,414
1188,-63,117,345
1189,-63,117,345
1190,-63,117,345
1191,-63,117,345
1192,-63,117,345
1193,-73,64,297
1194,-73,64,297
1195,-73,64,297
1196,-73,64,297
1197,-73,64,297
1198,-73,64,248
1199,-4,49,248
1200,-4,49,248
1201,-4,49,248
1202,-4,49,248
1203,-4,49,248
1204,65,-13,178
1205,65,-13,178
1206,65,-13,178
1207,65,-13,178
1208,65,-13,178
1209,69,-157,60
1210,69,-157,60
1211,69,-157,60
1212,69,-157,60
1213,69,-157,60
1214,69,-157,60
1215,-29,-334,-68
1216,-29,-334,-68
1217,-29,-334,-68
1218,-29,-334,-68
1219,-29,-334,-68
1220,-224,-432,-171
1221,-224,-432,-171
1222,-224,-432,-171
1223,-224,-432,-171
1224,-389,-389,-224
1225,-389,-389,-224
1226,-389,-389,-224
1227,-389,-389,-224
1228,-389,-389,-224
1229,-423,-264,-206
1230,-423,-264,-206
1231,-423,-264,-206
1232,-423,-264,-206
1233,-338,-123,-92
1234,-338,-123,-92
1235,-338,-123,-92
1236,-338,-123,-92
1237,-338,-123,-92
1238,-212,-45,55
1239,-212,-45,55
1240,-212,-45,55
1241,-212,-45,55
1242,-212,-45,55
1243,-85,-81,157
1244,-85,-81,157
1245,-85,-81,157
1246,-85,-81,157
1247,-85,-81,157
1248,-52,-169,209
1249,-52,-169,209
1250,-52,-169,209
1251,-52,-169,209
1252,-52,-169,209
1253,-133,-205,300
1254,-133,-205,300
1255,-133,-205,300
1256,-133,-205,300
1257,-133,-205,300
1258,-208,-173,420
1259,-208,-173,420
1260,-208,-173,420
